"","sample","Estimator","region_year","region_100","endYear","record_count"
"268","Rboreal_Y1988",66.31655798639,"Rboreal_Y1988","boreal",1988,1110
"269","Rboreal_Y1989",79.0494037632184,"Rboreal_Y1989","boreal",1989,2612
"270","Rboreal_Y1990",68.272690804121,"Rboreal_Y1990","boreal",1990,3875
"271","Rboreal_Y1991",74.0470563595733,"Rboreal_Y1991","boreal",1991,3346
"272","Rboreal_Y1992",85.7729851968646,"Rboreal_Y1992","boreal",1992,2745
"273","Rboreal_Y1993",85.3938912698183,"Rboreal_Y1993","boreal",1993,2819
"274","Rboreal_Y1994",87.1456267689151,"Rboreal_Y1994","boreal",1994,4529
"275","Rboreal_Y1995",88.9318740161103,"Rboreal_Y1995","boreal",1995,3097
"276","Rboreal_Y1996",83.2564109090038,"Rboreal_Y1996","boreal",1996,3811
"277","Rboreal_Y1997",86.8243844911103,"Rboreal_Y1997","boreal",1997,2644
"278","Rboreal_Y1998",90.0085740457455,"Rboreal_Y1998","boreal",1998,3266
"279","Rboreal_Y1999",97.050041066321,"Rboreal_Y1999","boreal",1999,3335
"280","Rboreal_Y2000",90.1804232402205,"Rboreal_Y2000","boreal",2000,4740
"281","Rboreal_Y2001",89.5951977386159,"Rboreal_Y2001","boreal",2001,6095
"282","Rboreal_Y2002",59.8989707220575,"Rboreal_Y2002","boreal",2002,12950
"283","Rboreal_Y2003",79.083701039657,"Rboreal_Y2003","boreal",2003,11373
"284","Rboreal_Y2004",89.4134327553405,"Rboreal_Y2004","boreal",2004,17462
"285","Rboreal_Y2005",91.2388855582721,"Rboreal_Y2005","boreal",2005,16002
"286","Rboreal_Y2006",95.1965880781903,"Rboreal_Y2006","boreal",2006,16735
"287","Rboreal_Y2007",93.5507201380885,"Rboreal_Y2007","boreal",2007,27930
"288","Rboreal_Y2008",89.2450974125985,"Rboreal_Y2008","boreal",2008,69761
"289","Rboreal_Y2009",87.5263130521315,"Rboreal_Y2009","boreal",2009,36575
"290","Rboreal_Y2010",87.6360788812167,"Rboreal_Y2010","boreal",2010,28979
"291","Rboreal_Y2011",78.7659312958356,"Rboreal_Y2011","boreal",2011,24396
"292","Rboreal_Y2012",81.266816884225,"Rboreal_Y2012","boreal",2012,25682
"293","Rboreal_Y2013",80.3277412395091,"Rboreal_Y2013","boreal",2013,24204
"294","Rboreal_Y2014",85.6157357977874,"Rboreal_Y2014","boreal",2014,23532
"295","Rboreal_Y2015",81.7037210146123,"Rboreal_Y2015","boreal",2015,21477
"296","Rboreal_Y2016",81.7166667789302,"Rboreal_Y2016","boreal",2016,16397
"297","Rboreal_Y2017",84.3156064650205,"Rboreal_Y2017","boreal",2017,17484
"298","Rboreal_Y2018",82.2541862851041,"Rboreal_Y2018","boreal",2018,16563
"299","Rboreal_Y2019",78.8023605578027,"Rboreal_Y2019","boreal",2019,20988
"300","Rboreal_Y2020",81.8994474366886,"Rboreal_Y2020","boreal",2020,27650
"301","Rcontinental_Y1921",102.849676769519,"Rcontinental_Y1921","continental",1921,810
"302","Rcontinental_Y1922",111.8507122388,"Rcontinental_Y1922","continental",1922,578
"303","Rcontinental_Y1923",74.6134170465907,"Rcontinental_Y1923","continental",1923,806
"304","Rcontinental_Y1924",109.616064326218,"Rcontinental_Y1924","continental",1924,818
"305","Rcontinental_Y1925",105.473979114865,"Rcontinental_Y1925","continental",1925,1284
"306","Rcontinental_Y1926",114.077984820874,"Rcontinental_Y1926","continental",1926,1121
